DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO. OF  TRADES
06-Aug-25	EQ	"1,939.40"	"1,946.70"	"1,912.20"	"1,939.40"	"1,926.00"	"1,924.00"	"1,926.27"	"2,135.00"	"1,523.25"	875588	"1,68,66,21,388.00"	45773
05-Aug-25	EQ	"1,930.10"	"1,942.70"	"1,916.00"	"1,933.60"	"1,942.00"	"1,939.40"	"1,926.81"	"2,135.00"	"1,523.25"	1101680	"2,12,27,33,012.40"	65968
04-Aug-25	EQ	"1,923.00"	"1,944.40"	"1,923.00"	"1,916.30"	"1,932.00"	"1,933.60"	"1,933.62"	"2,135.00"	"1,523.25"	982532	"1,89,98,41,822.60"	58025
01-Aug-25	EQ	"1,945.00"	"1,977.90"	"1,911.20"	"1,948.00"	"1,920.00"	"1,916.30"	"1,944.18"	"2,135.00"	"1,523.25"	836974	"1,62,72,30,109.30"	56525
31-Jul-25	EQ	"1,953.10"	"1,968.30"	"1,941.10"	"1,959.80"	"1,952.00"	"1,948.00"	"1,953.67"	"2,135.00"	"1,523.25"	985553	"1,92,54,46,976.30"	51636
30-Jul-25	EQ	"1,972.70"	"1,989.10"	"1,945.10"	"1,972.60"	"1,960.00"	"1,959.80"	"1,959.89"	"2,135.00"	"1,523.25"	932988	"1,82,85,56,420.50"	58328
29-Jul-25	EQ	"1,977.80"	"1,984.50"	"1,943.80"	"1,977.80"	"1,973.50"	"1,972.60"	"1,967.52"	"2,135.00"	"1,523.25"	847965	"1,66,83,92,005.30"	48518
28-Jul-25	EQ	"1,990.00"	"2,023.00"	"1,971.10"	"1,985.80"	"1,975.90"	"1,977.80"	"1,992.43"	"2,135.00"	"1,523.25"	1469727	"2,92,83,24,835.20"	77890
25-Jul-25	EQ	"1,999.00"	"2,000.00"	"1,932.90"	"2,032.30"	"1,985.40"	"1,985.80"	"1,961.84"	"2,135.00"	"1,523.25"	4102292	"8,04,80,29,617.90"	156846
24-Jul-25	EQ	"2,060.50"	"2,060.60"	"2,025.00"	"2,060.50"	"2,030.00"	"2,032.30"	"2,043.01"	"2,135.00"	"1,523.25"	658995	"1,34,63,31,920.60"	35661
23-Jul-25	EQ	"2,047.70"	"2,063.20"	"2,033.70"	"2,039.60"	"2,061.00"	"2,060.50"	"2,052.79"	"2,135.00"	"1,523.25"	878101	"1,80,25,56,935.70"	44187
22-Jul-25	EQ	"2,047.90"	"2,049.00"	"2,015.20"	"2,053.90"	"2,038.00"	"2,039.60"	"2,034.02"	"2,135.00"	"1,523.25"	1214275	"2,46,98,61,602.10"	51356
21-Jul-25	EQ	"2,026.90"	"2,056.00"	"2,017.60"	"2,029.60"	"2,053.00"	"2,053.90"	"2,046.20"	"2,135.00"	"1,523.25"	999643	"2,04,54,71,744.60"	49658
18-Jul-25	EQ	"2,029.90"	"2,038.90"	"2,007.30"	"2,026.50"	"2,027.10"	"2,029.60"	"2,021.53"	"2,135.00"	"1,523.25"	995783	"2,01,30,01,471.00"	51465
17-Jul-25	EQ	"2,037.60"	"2,047.50"	"2,020.30"	"2,036.00"	"2,023.60"	"2,026.50"	"2,029.13"	"2,135.00"	"1,523.25"	458912	"93,11,91,333.20"	47469
16-Jul-25	EQ	"2,040.10"	"2,043.70"	"2,018.10"	"2,036.50"	"2,036.10"	"2,036.00"	"2,031.23"	"2,135.00"	"1,523.25"	633132	"1,28,60,38,681.20"	36918
15-Jul-25	EQ	"2,010.00"	"2,046.00"	"2,004.10"	"2,003.60"	"2,039.00"	"2,036.50"	"2,026.12"	"2,135.00"	"1,523.25"	888117	"1,79,94,31,509.50"	48779
14-Jul-25	EQ	"2,010.00"	"2,015.00"	"1,989.00"	"2,017.20"	"2,000.20"	"2,003.60"	"2,000.53"	"2,135.00"	"1,523.25"	605261	"1,21,08,44,718.90"	33013
11-Jul-25	EQ	"2,037.00"	"2,040.70"	"2,000.20"	"2,039.40"	"2,012.60"	"2,017.20"	"2,014.04"	"2,135.00"	"1,523.25"	1145529	"2,30,71,36,128.40"	46591
10-Jul-25	EQ	"2,034.00"	"2,049.00"	"2,021.80"	"2,026.40"	"2,037.30"	"2,039.40"	"2,036.40"	"2,135.00"	"1,523.25"	1230564	"2,50,59,15,114.10"	41745
09-Jul-25	EQ	"2,013.00"	"2,037.60"	"2,012.00"	"2,018.30"	"2,023.90"	"2,026.40"	"2,026.79"	"2,135.00"	"1,523.25"	1161769	"2,35,46,58,504.10"	46936
08-Jul-25	EQ	"2,000.00"	"2,020.60"	"1,998.70"	"2,006.40"	"2,014.00"	"2,018.30"	"2,008.28"	"2,135.00"	"1,523.25"	986803	"1,98,17,79,855.80"	43872
07-Jul-25	EQ	"1,996.80"	"2,016.90"	"1,993.00"	"1,994.40"	"2,007.00"	"2,006.40"	"2,003.30"	"2,135.00"	"1,523.25"	861699	"1,72,62,38,426.30"	42512
04-Jul-25	EQ	"1,993.00"	"2,032.90"	"1,985.00"	"1,980.70"	"1,992.10"	"1,994.40"	"2,005.06"	"2,135.00"	"1,523.25"	1509178	"3,02,59,89,595.40"	70029
03-Jul-25	EQ	"2,008.00"	"2,014.40"	"1,977.60"	"2,007.90"	"1,979.80"	"1,980.70"	"1,985.47"	"2,135.00"	"1,523.25"	1133593	"2,25,07,19,024.60"	59264
02-Jul-25	EQ	"2,054.00"	"2,057.50"	"1,996.60"	"2,053.80"	"2,009.10"	"2,007.90"	"2,015.60"	"2,135.00"	"1,523.25"	1204931	"2,42,86,61,669.80"	59956
